#Area	Introduction	Website	Name	!Person	LinkedIn
Books	If the evolution of humanity goes steaduily towards realizing the divine, then who better to guide the way than a bookstore dealing exclusively with matters of the spirit	samatabooks.in	Samata Books		
Courses		yieldmore.org/courses/	YieldMore Friends		
Clothing				Vijay / Durga Corporation	
Creative Expression		imran.yieldmore.org	Imran N, author		
Curation		yieldmore.org/healing-programs/	YieldMore.org	Imran Ali Namazi	
Education		relieffoundation.in	Relief Foundation	Vidya Shankar	
Environment		seamovement.org	S Radhakrishnan		
Farming		tryagri.com	Satsang Farm	Narayan	
Food				Omar / Gatsby	
Health Info			Health Info India	Muneer Ahmed	
Philosophy		jvidya.com	Jeevan Vidya	Shriram Narasimhan	
Citizenry		buildindiagroup.org	Build India Group	Biraja Mahapatra	
Sensory Enhancement		yieldmore.org/brics/	BRiCS	Sanjay Ranganathan	
Skincare and Healing			Vidzeal	Srividya Srikumar	
Social Catalyst		spanda.org	Spanda Foundation	Sahlan Momo	
Social Work			Enablers of India	Mustafa Badsha	
Spiritual Commune		sriaurobindodhama.org	Sri Aurobindo Dhama	Satyavrata Rao	
Teacher Mentoring		yieldmore.org/teachers/	___ Educator	Asha Porayath	
Training			Mayil Foundation	Jegannathan Palaniswamy	
Wellbeing		yieldmore.org/awe-write-express/	Value Life Mission	Saify Saraiya	